ticker,date,period_ending,estimate,reported,surprise,surprise%,
IFF,2022-11-07,Sep-22,1.3,1.36,0.06,4.62,2022-11-07
IGMS,2022-11-03,Sep-22,-1.45,-1.32,0.13,8.97,2022-11-03
IGT,2022-11-08,Sep-22,0.24,1.3,1.06,441.67,2022-11-08
IHRT,2022-11-03,Sep-22,0.21,0.21,0,0,2022-11-03
IIIV,2022-11-16,Sep-22,0.36,0.39,0.03,8.33,2022-11-16
IIPR,2022-11-02,Sep-22,2.07,1.32,-0.75,-36.23,2022-11-02
ILMN,2022-11-03,Sep-22,0.29,0.34,0.05,17.24,2022-11-03
ILPT,2022-10-25,Sep-22,0.33,-0.7,-1.03,-312.12,2022-10-25
IMAX,2022-10-31,Sep-22,0.03,-0.05,-0.08,-266.67,2022-10-31
IMGN,2022-11-04,Sep-22,-0.26,-0.31,-0.05,-19.23,2022-11-04
IMVT,2022-11-04,Sep-22,-0.41,-0.41,0,0,2022-11-04
IMXI,2022-11-09,Sep-22,0.42,0.54,0.12,28.57,2022-11-09
INBK,2022-10-19,Sep-22,1.15,0.89,-0.26,-22.61,2022-10-19
INBX,2022-11-07,Sep-22,-1.01,-0.9,0.11,10.89,2022-11-07
INCY,2022-11-01,Sep-22,0.72,0.6,-0.12,-16.67,2022-11-01
INDB,2022-10-20,Sep-22,1.4,1.57,0.17,12.14,2022-10-20
INDI,2022-11-10,Sep-22,-0.11,-0.12,-0.01,-9.09,2022-11-10
INFA,2022-10-26,Sep-22,0.17,0.18,0.01,5.88,2022-10-26
INFN,2022-11-02,Sep-22,0.01,0.05,0.04,400,2022-11-02
INGN,2022-11-02,Sep-22,-0.41,-0.18,0.23,56.1,2022-11-02
INN,2022-11-02,Sep-22,0.25,0.25,0,0,2022-11-02
INO,2022-11-08,Sep-22,-0.29,-0.15,0.14,48.28,2022-11-08
INSE,2022-11-09,Sep-22,0.31,0.35,0.04,12.9,2022-11-09
INSG,2022-11-02,Sep-22,-0.08,-0.11,-0.03,-37.5,2022-11-02
INSM,2022-10-27,Sep-22,-0.89,-1.09,-0.2,-22.47,2022-10-27
INSP,2022-11-01,Sep-22,-0.75,-0.6,0.15,20,2022-11-01
INST,2022-11-01,Sep-22,0.25,0.29,0.04,16,2022-11-01
INSW,2022-11-08,Sep-22,2.42,2.28,-0.14,-5.79,2022-11-08
INT,2022-10-27,Sep-22,0.64,0.67,0.03,4.69,2022-10-27
INTA,2022-11-07,Sep-22,-0.04,0.01,0.05,125,2022-11-07
INTC,2022-10-27,Sep-22,0.34,0.59,0.25,73.53,2022-10-27
INTU,2022-11-29,Oct-22,1.19,1.66,0.47,39.5,2022-11-29
INVA,2022-11-09,Sep-22,2.75,0.6,-2.15,-78.18,2022-11-09
INVH,2022-10-26,Sep-22,0.43,0.13,-0.3,-69.77,2022-10-26
IONS,2022-11-09,Sep-22,-0.74,-0.33,0.41,55.41,2022-11-09
IOSP,2022-11-08,Sep-22,1.4,1.74,0.34,24.29,2022-11-08
IOVA,2022-11-03,Sep-22,-0.64,-0.63,0.01,1.56,2022-11-03
IP,2022-10-27,Sep-22,1.22,1.01,-0.21,-17.21,2022-10-27
IPAR,2022-11-09,Sep-22,0.99,1.3,0.31,31.31,2022-11-09
IPG,2022-10-21,Sep-22,0.59,0.63,0.04,6.78,2022-10-21
IPGP,2022-11-01,Sep-22,1.17,1.47,0.3,25.64,2022-11-01
IPI,2022-11-02,Sep-22,1.55,0.97,-0.58,-37.42,2022-11-02
IPSC,2022-11-10,Sep-22,-0.59,-0.53,0.06,10.17,2022-11-10
IQV,2022-10-26,Sep-22,2.39,2.48,0.09,3.77,2022-10-26
IR,2022-11-02,Sep-22,0.59,0.62,0.03,5.08,2022-11-02
IRBT,2022-11-08,Sep-22,1.51,-1.78,-3.29,-217.88,2022-11-08
IRDM,2022-10-20,Sep-22,0.02,0.02,0,0,2022-10-20
IRM,2022-11-03,Sep-22,0.96,0.98,0.02,2.08,2022-11-03
IRMD,2022-11-03,Sep-22,0.24,0.29,0.05,20.83,2022-11-03
IRT,2022-10-26,Sep-22,0.27,0.28,0.01,3.7,2022-10-26
IRTC,2022-11-01,Sep-22,-0.82,-0.63,0.19,23.17,2022-11-01
IRWD,2022-11-03,Sep-22,0.27,0.28,0.01,3.7,2022-11-03
ISEE,2022-11-03,Sep-22,-0.4,-0.35,0.05,12.5,2022-11-03
ISRG,2022-10-18,Sep-22,1.1,1.19,0.09,8.18,2022-10-18
IT,2022-11-01,Sep-22,1.85,2.41,0.56,30.27,2022-11-01
ITCI,2022-11-03,Sep-22,-0.86,-0.57,0.29,33.72,2022-11-03
ITGR,2022-10-27,Sep-22,0.89,0.95,0.06,6.74,2022-10-27
